sample_id,source_sample_name,total_n,positive_count,negative_count,symptomatic_positive_count,asymptomatic_positive_count,symptomatic_positive_rate,asymptomatic_positive_rate,symptomatic_negative_count,asymptomatic_negative_count,symptomatic_negative_rate,asymptomatic_negative_rate,positive_rate,contact_edges,average_degree,status
sample_032,company_n3000_sample32_maxpos5pct_work,3000,56,2944,20,36,0.35714285714285715,0.6428571428571429,359,2585,0.12194293478260869,0.8780570652173914,0.018666666666666668,10931,7.287333333333334,ok
sample_033,company_n3000_sample33_maxpos5pct_work,3000,53,2947,15,38,0.2830188679245283,0.7169811320754716,410,2537,0.13912453342382083,0.8608754665761792,0.017666666666666667,10746,7.164,ok
sample_034,company_n3000_sample34_maxpos5pct_work,3000,56,2944,24,32,0.42857142857142855,0.5714285714285714,338,2606,0.11480978260869565,0.8851902173913043,0.018666666666666668,10595,7.0633333333333335,ok
sample_035,company_n3000_sample35_maxpos5pct_work,3000,56,2944,24,32,0.42857142857142855,0.5714285714285714,371,2573,0.12601902173913043,0.8739809782608695,0.018666666666666668,10886,7.257333333333333,ok
sample_036,company_n3000_sample36_maxpos5pct_work,3000,56,2944,24,32,0.42857142857142855,0.5714285714285714,388,2556,0.13179347826086957,0.8682065217391305,0.018666666666666668,10682,7.121333333333333,ok
sample_037,company_n3000_sample37_maxpos5pct_work,3000,52,2948,23,29,0.4423076923076923,0.5576923076923077,371,2577,0.12584803256445048,0.8741519674355496,0.017333333333333333,10897,7.264666666666667,ok
sample_038,company_n3000_sample38_maxpos5pct_work,3000,54,2946,21,33,0.3888888888888889,0.6111111111111112,394,2552,0.13374066530889342,0.8662593346911066,0.018,10584,7.056,ok
sample_039,company_n3000_sample39_maxpos5pct_work,3000,54,2946,26,28,0.48148148148148145,0.5185185185185185,364,2582,0.12355736591989137,0.8764426340801086,0.018,10638,7.092,ok
sample_040,company_n3000_sample40_maxpos5pct_work,3000,54,2946,23,31,0.42592592592592593,0.5740740740740741,345,2601,0.11710794297352342,0.8828920570264766,0.018,10708,7.1386666666666665,ok
sample_041,company_n3000_sample41_maxpos5pct_work,3000,54,2946,20,34,0.37037037037037035,0.6296296296296297,344,2602,0.11676849966055669,0.8832315003394433,0.018,10922,7.281333333333333,ok
sample_042,company_n3000_sample42_maxpos5pct_work,3000,52,2948,20,32,0.38461538461538464,0.6153846153846154,355,2593,0.12042062415196743,0.8795793758480326,0.017333333333333333,10497,6.998,ok
sample_043,company_n3000_sample43_maxpos5pct_work,3000,50,2950,15,35,0.3,0.7,373,2577,0.1264406779661017,0.8735593220338983,0.016666666666666666,10588,7.058666666666666,ok
sample_044,company_n3000_sample44_maxpos5pct_work,3000,50,2950,21,29,0.42,0.58,364,2586,0.12338983050847457,0.8766101694915254,0.016666666666666666,11091,7.394,ok
sample_045,company_n3000_sample45_maxpos5pct_work,3000,50,2950,21,29,0.42,0.58,357,2593,0.12101694915254237,0.8789830508474576,0.016666666666666666,10773,7.182,ok
sample_046,company_n3000_sample46_maxpos5pct_work,3000,50,2950,21,29,0.42,0.58,382,2568,0.12949152542372883,0.8705084745762712,0.016666666666666666,10799,7.199333333333334,ok
sample_047,company_n3000_sample47_maxpos5pct_work,3000,50,2950,25,25,0.5,0.5,366,2584,0.12406779661016949,0.8759322033898305,0.016666666666666666,10697,7.131333333333333,ok
sample_048,company_n3000_sample48_maxpos5pct_work,3000,50,2950,17,33,0.34,0.66,370,2580,0.12542372881355932,0.8745762711864407,0.016666666666666666,10907,7.271333333333334,ok
sample_049,company_n3000_sample49_maxpos5pct_work,3000,52,2948,26,26,0.5,0.5,395,2553,0.13398914518317503,0.8660108548168249,0.017333333333333333,10600,7.066666666666666,ok
sample_050,company_n3000_sample50_maxpos5pct_work,3000,52,2948,19,33,0.36538461538461536,0.6346153846153846,382,2566,0.12957937584803256,0.8704206241519674,0.017333333333333333,11003,7.335333333333334,ok
