n,positive_count,positive_rate,contact_edges,weighted_graph_edges,positive_positive_edges,positive_symptomatic_count,positive_symptomatic_rate,asymptomatic_positive_count,asymptomatic_positive_rate,negative_symptomatic_count,negative_symptomatic_rate,mean_symptom_count_positive,mean_symptom_count_negative,sample_index,sample_dir,group_A_count,group_A_positive_count,group_A_positive_rate,group_B_count,group_B_positive_count,group_B_positive_rate,group_C_count,group_C_positive_count,group_C_positive_rate,group_D_count,group_D_positive_count,group_D_positive_rate
3000.0,56.0,0.018666666666666668,10595.0,5969.0,70.0,24.0,0.42857142857142855,32.0,0.5714285714285714,338.0,0.11480978260869565,0.8035714285714286,0.13145380434782608,34,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample34_maxpos5pct_work,150,21,0.14,212,3,0.014150943396226415,960,27,0.028125,1678,5,0.0029797377830750892
3000.0,56.0,0.018666666666666668,10886.0,6234.0,74.0,24.0,0.42857142857142855,32.0,0.5714285714285714,371.0,0.12601902173913043,0.8392857142857143,0.14436141304347827,35,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample35_maxpos5pct_work,164,20,0.12195121951219512,231,4,0.017316017316017316,1025,27,0.026341463414634145,1580,5,0.0031645569620253164
3000.0,56.0,0.018666666666666668,10682.0,6105.0,68.0,24.0,0.42857142857142855,32.0,0.5714285714285714,388.0,0.13179347826086957,0.9464285714285714,0.15081521739130435,36,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample36_maxpos5pct_work,199,23,0.11557788944723618,213,1,0.004694835680751174,1067,32,0.02999062792877226,1521,0,0.0
3000.0,52.0,0.017333333333333333,10897.0,6255.0,72.0,23.0,0.4423076923076923,29.0,0.5576923076923077,371.0,0.12584803256445048,0.8076923076923077,0.1451831750339213,37,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample37_maxpos5pct_work,152,23,0.1513157894736842,242,0,0.0,1038,28,0.02697495183044316,1568,1,0.0006377551020408163
3000.0,54.0,0.018,10584.0,6010.0,69.0,21.0,0.3888888888888889,33.0,0.6111111111111112,394.0,0.13374066530889342,0.7777777777777778,0.1544467073998642,38,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample38_maxpos5pct_work,202,18,0.0891089108910891,213,3,0.014084507042253521,1072,30,0.027985074626865673,1513,3,0.0019828155981493722
3000.0,54.0,0.018,10638.0,6045.0,67.0,26.0,0.48148148148148145,28.0,0.5185185185185185,364.0,0.12355736591989137,1.0185185185185186,0.1425661914460285,39,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample39_maxpos5pct_work,166,25,0.15060240963855423,224,1,0.004464285714285714,1027,26,0.02531645569620253,1583,2,0.0012634238787113076
3000.0,54.0,0.018,10708.0,6092.0,66.0,23.0,0.42592592592592593,31.0,0.5740740740740741,345.0,0.11710794297352342,0.9259259259259259,0.13000678886625933,40,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample40_maxpos5pct_work,160,19,0.11875,208,4,0.019230769230769232,956,30,0.03138075313807531,1676,1,0.0005966587112171838
3000.0,54.0,0.018,10922.0,6247.0,66.0,20.0,0.37037037037037035,34.0,0.6296296296296297,344.0,0.11676849966055669,0.6666666666666666,0.13238289205702647,41,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample41_maxpos5pct_work,143,16,0.11188811188811189,221,4,0.01809954751131222,1002,30,0.029940119760479042,1634,4,0.0024479804161566705
3000.0,52.0,0.017333333333333333,10497.0,6040.0,59.0,20.0,0.38461538461538464,32.0,0.6153846153846154,355.0,0.12042062415196743,0.6153846153846154,0.1383989145183175,42,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample42_maxpos5pct_work,149,10,0.06711409395973154,226,10,0.04424778761061947,963,29,0.030114226375908618,1662,3,0.0018050541516245488
3000.0,50.0,0.016666666666666666,10588.0,6136.0,56.0,15.0,0.3,35.0,0.7,373.0,0.1264406779661017,0.62,0.1447457627118644,43,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample43_maxpos5pct_work,146,10,0.0684931506849315,242,5,0.02066115702479339,1024,24,0.0234375,1588,11,0.0069269521410579345
3000.0,50.0,0.016666666666666666,11091.0,6412.0,58.0,21.0,0.42,29.0,0.58,364.0,0.12338983050847457,0.68,0.1430508474576271,44,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample44_maxpos5pct_work,167,19,0.11377245508982035,218,2,0.009174311926605505,1032,25,0.02422480620155039,1583,4,0.002526847757422615
3000.0,50.0,0.016666666666666666,10773.0,6166.0,53.0,21.0,0.42,29.0,0.58,357.0,0.12101694915254237,0.84,0.13830508474576272,45,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample45_maxpos5pct_work,164,19,0.11585365853658537,214,2,0.009345794392523364,1007,25,0.024826216484607744,1615,4,0.002476780185758514
3000.0,50.0,0.016666666666666666,10799.0,6186.0,55.0,21.0,0.42,29.0,0.58,382.0,0.12949152542372883,0.86,0.15016949152542372,46,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample46_maxpos5pct_work,176,17,0.09659090909090909,227,4,0.01762114537444934,1026,22,0.021442495126705652,1571,7,0.004455760661998727
3000.0,50.0,0.016666666666666666,10697.0,6165.0,53.0,25.0,0.5,25.0,0.5,366.0,0.12406779661016949,0.92,0.14372881355932204,47,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample47_maxpos5pct_work,156,21,0.1346153846153846,235,4,0.01702127659574468,995,22,0.022110552763819097,1614,3,0.0018587360594795538
3000.0,50.0,0.016666666666666666,10907.0,6312.0,60.0,17.0,0.34,33.0,0.66,370.0,0.12542372881355932,0.88,0.14508474576271185,48,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample48_maxpos5pct_work,166,15,0.09036144578313253,221,2,0.00904977375565611,1055,31,0.029383886255924172,1558,2,0.0012836970474967907
3000.0,52.0,0.017333333333333333,10600.0,6111.0,54.0,26.0,0.5,26.0,0.5,395.0,0.13398914518317503,1.1346153846153846,0.15434192672998642,49,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample49_maxpos5pct_work,173,20,0.11560693641618497,248,6,0.024193548387096774,1116,25,0.022401433691756272,1463,1,0.000683526999316473
3000.0,52.0,0.017333333333333333,11003.0,6318.0,49.0,19.0,0.36538461538461536,33.0,0.6346153846153846,382.0,0.12957937584803256,0.6923076923076923,0.14620081411126187,50,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample50_maxpos5pct_work,166,15,0.09036144578313253,235,4,0.01702127659574468,1068,25,0.023408239700374533,1531,8,0.005225342913128674
